PassengerId,Survived
495,0
648,0
278,0
31,1
255,1
298,0
609,1
318,1
484,1
367,1
704,0
346,1
196,0
535,1
310,1
14,1
350,0
145,0
614,0
803,0
144,0
708,1
778,0
270,0
474,1
319,1
519,0
141,1
880,1
642,1
285,0
458,1
200,0
55,0
477,0
632,1
818,0
883,0
666,0
317,0
587,0
693,0
538,0
686,0
230,1
101,0
656,0
311,1
808,0
262,0
740,0
97,1
750,1
566,0
839,1
655,0
252,0
542,0
819,0
301,0
60,0
567,1
496,1
766,1
8,1
890,0
796,1
848,0
530,1
887,1
316,1
712,0
34,0
77,0
676,0
726,1
27,0
30,0
202,0
181,0
768,0
489,0
312,1
764,0
397,0
627,1
380,1
483,0
516,1
505,1
815,0
877,0
193,0
523,1
634,1
531,0
247,1
266,0
694,0
681,1
683,0
249,0
715,0
175,0
251,1
279,0
399,1
638,0
728,0
612,1
771,0
356,1
838,0
564,1
390,0
635,1
142,1
700,1
561,0
440,1
643,0
5,0
725,0
822,0
103,0
487,0
522,0
267,0
413,0
150,0
501,1
494,0
784,0
113,1
545,0
37,0
214,0
40,0
236,0
658,0
342,0
412,1
511,0
654,1
596,1
293,1
418,0
432,1
299,1
158,0
62,0
79,1
503,1
231,0
389,1
619,0
362,0
570,0
264,1
644,1
384,0
762,0
513,1
85,0
352,0
75,0
631,0
395,0
294,0
500,0
222,0
1,1
425,0
760,0
780,1
837,0
215,1
833,0
372,0
